Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-04-14 06:11:28",3,1,GrrdMlmr,98c6e3a5-9d08-445b-9c8c-fe32c4f0ce1f,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,21,0,0,1,,Left,0,0,457,0,0,0,0.00,-2.00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,685
"2023-04-14 23:11:08",3,1,GrrdMlmr,0c593ae8-a9ca-42ec-aac8-b0ac3c06fbeb,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,31.29,3377,1935,310,97,213,1.71,6.00,12,0,0,6,0,0,0,7,7,3,0,0,4,0,1,6,7,1445,0,12,605
"2023-04-14 23:24:09",3,1,GrrdMlmr,95671ff3-6232-465f-ac09-d6e692df8a63,Fragmentation,"Total Control","Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,47.43,4576,3583,272,129,143,1.40,5.66,14,1,1,7,2,0,0,7,10,5,0,0,4,1,0,11,9,2120,0,14,709
"2023-04-24 04:27:43",3,1,GrrdMlmr,a566b055-b2c7-4e92-a05e-83d3be66110e,Fragmentation,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,13,1,1,0,,Loss,40.36,5183,4531,332,134,198,1.07,3.00,16,0,5,3,4,0,0,8,15,6,0,0,5,0,0,14,12,1980,0,11,941
"2023-04-24 06:15:24",3,1,GrrdMlmr,f7d84537-cc7d-46fa-9486-48f8be0cd5cf,Deadlock,"Total Control","Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,23,0,0,1,,Left,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809
"2023-04-24 06:28:24",3,1,GrrdMlmr,8e0766f6-b4cc-4e63-ae87-bfcb713519f4,Breaker,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,27.2,3648,1591,353,96,257,3.20,12.00,16,1,0,5,4,0,0,4,5,3,0,0,5,1,2,10,8,1840,0,7,669
"2023-04-25 05:45:01",3,1,GrrdMlmr,4196fe44-47c5-463e-964b-5328cffde05a,Deadlock,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,14,1,1,0,,Loss,49.88,3020,2194,425,212,213,1.43,4.66,10,0,0,4,0,0,2,8,7,5,0,0,3,1,0,8,9,1330,0,5,635
"2023-04-25 05:58:03",3,1,GrrdMlmr,e5d597ce-27fa-4c73-ac3e-137d80e2b0c8,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,34.51,8113,964,1272,439,833,15.50,30.00,31,0,0,5,0,0,0,1,2,3,0,0,18,1,0,10,7,3260,0,18,611
"2023-04-25 06:18:52",3,1,GrrdMlmr,cbe4fa67-5f99-4cce-9a7c-6d15dbb71f88,Highpower,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,4,1,1,0,,Win,24.9,3641,1597,747,186,561,1.33,4.00,8,0,0,0,0,0,0,8,6,6,0,0,8,1,0,10,9,1180,0,7,691
"2023-04-25 06:33:04",3,1,GrrdMlmr,b3291621-55d7-40e6-8cdd-82d3b42d6f43,Highpower,Stockpile,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,13,1,1,0,,Loss,45.07,3354,2106,537,242,295,1.13,2.00,9,0,0,1,0,0,0,2,8,3,0,0,5,0,0,7,6,1100,0,6,504
